blue,green,red,ndwi,brightness,label,source_file
0.072904825,0.23702216,0.21731833,0.043367896,0.17574842,1,Shasta_2025_07.tif
0.13903272,0.26769295,0.348986,-0.13182372,0.2519039,1,Shasta_2025_07.tif
0.06467558,0.23118012,0.21591012,0.03415409,0.17058861,1,Shasta_2025_07.tif
0.068790205,0.22533806,0.21661422,0.01973928,0.1702475,1,Shasta_2025_07.tif
0.07172922,0.2102461,0.21943064,-0.021375412,0.16713531,1,Shasta_2025_07.tif
0.07025971,0.19515413,0.20886905,-0.033945803,0.1580943,1,Shasta_2025_07.tif
0.094653554,0.17373328,0.23069632,-0.14084749,0.16636105,1,Shasta_2025_07.tif
0.06467558,0.14987823,0.2130937,-0.17416027,0.14254917,1,Shasta_2025_07.tif
0.071141414,0.14500985,0.22083884,-0.20726818,0.14566337,1,Shasta_2025_07.tif
0.07143532,0.14111514,0.22013475,-0.21873884,0.1442284,1,Shasta_2025_07.tif
0.070553616,0.14793088,0.20605265,-0.16419296,0.14151238,1,Shasta_2025_07.tif
0.33686486,0.36672506,0.31975052,0.068428464,0.34111348,1,Shasta_2023_06.tif
0.33102626,0.36943895,0.2699723,0.15555951,0.32347915,1,Shasta_2023_06.tif
0.44195986,0.5876354,0.5307508,0.05086305,0.5201154,1,Shasta_2023_06.tif
0.33343038,0.4752805,0.47057116,0.0049789287,0.42642736,1,Shasta_2023_06.tif
0.05317707,0.18055248,0.32866603,-0.29086384,0.18746519,1,Shasta_2023_06.tif
0.32673317,0.36482534,0.32086498,0.06411101,0.3374745,1,Shasta_2023_06.tif
0.42152473,0.448413,0.39330345,0.06547275,0.42108038,1,Shasta_2023_06.tif
0.54911554,0.6180309,0.68974394,-0.05483588,0.6189634,1,Shasta_2023_06.tif
0.122553505,0.28639403,0.36135623,-0.11572683,0.25676793,1,Shasta_2023_06.tif
0.078248754,0.21854688,0.3041484,-0.16376914,0.20031469,1,Shasta_2023_06.tif
0.1606762,0.36075452,0.43565208,-0.094044246,0.3190276,1,Shasta_2023_06.tif
0.35644138,0.554526,0.5589832,-0.004002869,0.48998353,1,Shasta_2023_06.tif
0.31299525,0.48016548,0.45794085,0.02369093,0.41703382,1,Shasta_2023_06.tif
0.14281692,0.34067175,0.3164072,0.036927838,0.26663196,1,Shasta_2023_06.tif
0.111219734,0.320589,0.36061326,-0.058755223,0.2641407,1,Shasta_2023_06.tif
0.14504933,0.30674818,0.28483146,0.03704772,0.245543,1,Shasta_2023_06.tif
0.105896294,0.25057074,0.27443004,-0.045446113,0.21029903,1,Shasta_2023_06.tif
0.090956315,0.22831687,0.33683857,-0.19202062,0.21870393,1,Shasta_2023_06.tif
0.089410804,0.24785686,0.3275516,-0.13850093,0.22160642,1,Shasta_2023_06.tif
0.074814275,0.22098938,0.2699723,-0.09976913,0.18859197,1,Shasta_2023_06.tif
0.13131142,0.30783373,0.40816262,-0.14012466,0.28243592,1,Shasta_2023_06.tif
0.12993763,0.3018632,0.34092486,-0.060769025,0.25757524,1,Shasta_2023_06.tif
0.08666322,0.22614576,0.30526283,-0.14888152,0.20602393,1,Shasta_2023_06.tif
0.066914976,0.19547886,0.24582614,-0.114087015,0.16940665,1,Shasta_2023_06.tif
0.096966654,0.20497745,0.3026625,-0.1924294,0.20153554,1,Shasta_2023_06.tif
0.14853817,0.21137995,0.13484652,0.22104953,0.16492154,0,Shasta_2007_09.tif
0.12811679,0.18756822,0.13061525,0.17899354,0.14876676,0,Shasta_2007_09.tif
0.09748469,0.1534231,0.08830254,0.26939756,0.11307011,0,Shasta_2007_09.tif
0.079105444,0.14323947,0.11274989,0.11910439,0.11169827,0,Shasta_2007_09.tif
0.35030153,0.3819558,0.38261098,-0.0008569211,0.37162277,0,Shasta_2007_09.tif
0.10453007,0.12841329,0.085481696,0.20071247,0.10614169,0,Shasta_2007_09.tif
0.13036314,0.19116244,0.15247683,0.11257588,0.1580008,0,Shasta_2007_09.tif
0.10728696,0.16989662,0.096765086,0.27424732,0.124649554,0,Shasta_2007_09.tif
0.043265898,0.070606194,0.035881788,0.3260845,0.049917962,0,Shasta_2007_09.tif
0.03479102,0.07375114,0.0582135,0.11774003,0.05558522,0,Shasta_2007_09.tif
0.080739155,0.10430204,0.0934741,0.054748207,0.09283843,0,Shasta_2007_09.tif
0.10524482,0.14428778,0.11651102,0.106506065,0.122014545,0,Shasta_2007_09.tif
0.04551225,0.07360138,0.034706432,0.35911158,0.051273357,0,Shasta_2007_09.tif
0.028256174,0.043349996,0.032120656,0.14878884,0.03457561,0,Shasta_2007_09.tif
0.017432837,0.036461066,0.007438239,0.66110766,0.020444049,0,Shasta_2007_09.tif
0.08094337,0.13665006,0.09018311,0.20484985,0.10259218,0,Shasta_2007_09.tif
0.06450415,0.09621503,0.071377456,0.14820132,0.07736555,0,Shasta_2007_09.tif
0.068894744,0.11119097,0.075138584,0.19348617,0.08507476,0,Shasta_2007_09.tif
0.055212412,0.07255306,0.057273217,0.11769364,0.06167956,0,Shasta_2007_09.tif
0.04295958,0.073451616,0.045989826,0.22991651,0.054133672,0,Shasta_2007_09.tif
0.044082753,0.059224483,0.0445794,0.14108276,0.049295545,0,Shasta_2007_09.tif
0.052047096,0.085432366,0.059623923,0.17791896,0.06570113,0,Shasta_2007_09.tif
0.07879912,0.12182388,0.08336606,0.18742454,0.094663024,0,Shasta_2007_09.tif
0.07001792,0.105200596,0.07678408,0.15614699,0.08400086,0,Shasta_2007_09.tif
0.054701876,0.090074904,0.08007507,0.05877036,0.07495062,0,Shasta_2007_09.tif
0.27682137,0.32840008,0.25115782,0.13327765,0.28545976,0,Shasta_2017_02.tif
0.2424273,0.3155747,0.21704058,0.1850002,0.25834754,0,Shasta_2017_02.tif
0.1363444,0.18518339,0.13990594,0.1392765,0.15381125,0,Shasta_2017_02.tif
0.122669645,0.18689343,0.1057887,0.27710763,0.1384506,0,Shasta_2017_02.tif
0.15727091,0.24695896,0.15103114,0.24103005,0.18508701,0,Shasta_2017_02.tif
0.27847892,0.40877244,0.2752624,0.19517991,0.32083791,0,Shasta_2017_02.tif
0.2150778,0.32519373,0.18737341,0.26888192,0.24254833,0,Shasta_2017_02.tif
0.21735694,0.2715409,0.17439403,0.2178494,0.22109729,0,Shasta_2017_02.tif
0.14587529,0.23220977,0.14287266,0.2381793,0.17365257,0,Shasta_2017_02.tif
0.12577754,0.16573156,0.1057887,0.22076674,0.1324326,0,Shasta_2017_02.tif
0.2888386,0.35939476,0.31679642,0.06299738,0.3216766,0,Shasta_2017_02.tif
0.21756412,0.32155988,0.20369035,0.224406,0.24760477,0,Shasta_2017_02.tif
0.21549219,0.30552816,0.19738609,0.21503042,0.23946881,0,Shasta_2017_02.tif
0.1728104,0.2715409,0.17624822,0.21280658,0.2068665,0,Shasta_2017_02.tif
0.07957346,0.119346455,0.08057161,0.19395274,0.09316384,0,Shasta_2017_02.tif
0.148776,0.16423528,0.1384226,0.085286394,0.15047796,0,Shasta_2017_02.tif
0.22357273,0.2839388,0.19886944,0.17619662,0.23546033,0,Shasta_2017_02.tif
0.19767357,0.27581605,0.17216899,0.23136225,0.21521954,0,Shasta_2017_02.tif
0.15499179,0.18689343,0.13545588,0.15957037,0.1591137,0,Shasta_2017_02.tif
0.12639913,0.18860349,0.14361434,0.13542025,0.15287231,0,Shasta_2017_02.tif
0.08993312,0.11207875,0.0701881,0.22983018,0.09073332,0,Shasta_2017_02.tif
0.23206764,0.23263729,0.19256517,0.09424221,0.21909003,0,Shasta_2017_02.tif
0.3431232,0.35789844,0.29343355,0.09897379,0.33148506,0,Shasta_2017_02.tif
0.36881515,0.3835492,0.36834314,0.020223705,0.37356916,0,Shasta_2017_02.tif
0.17571111,0.21425425,0.17847326,0.091108695,0.18947953,0,Shasta_2017_02.tif
0.32208112,0.32689333,0.35889184,-0.046659607,0.3359554,0,Shasta_2008_11.tif
0.23006073,0.2633468,0.27254328,-0.017161116,0.25531694,0,Shasta_2008_11.tif
0.23358344,0.2805146,0.34457165,-0.10247698,0.28622323,0,Shasta_2008_11.tif
0.1751578,0.21876174,0.27852783,-0.12018342,0.22414912,0,Shasta_2008_11.tif
0.1576301,0.21466197,0.2344986,-0.044163693,0.20226355,0,Shasta_2008_11.tif
0.060540423,0.06373897,0.11779979,-0.2977905,0.08069306,0,Shasta_2008_11.tif
0.14336737,0.14624695,0.23599474,-0.23479266,0.17520303,0,Shasta_2008_11.tif
0.09748606,0.1322821,0.17401186,-0.13624044,0.13459334,0,Shasta_2008_11.tif
0.09164349,0.120239004,0.15584446,-0.12896581,0.12257565,0,Shasta_2008_11.tif
0.12661296,0.17545786,0.22231576,-0.1178001,0.17479552,0,Shasta_2008_11.tif
0.08373884,0.1329227,0.15712686,-0.08344809,0.12459613,0,Shasta_2008_11.tif
0.0540105,0.10089319,0.13062383,-0.1284161,0.09517584,0,Shasta_2008_11.tif
0.06371947,0.10063695,0.15691313,-0.2185049,0.107089855,0,Shasta_2008_11.tif
0.06818731,0.09589659,0.14836377,-0.21479936,0.10414922,0,Shasta_2008_11.tif
0.15840338,0.19057578,0.30780938,-0.23522644,0.21892951,0,Shasta_2008_11.tif
0.06560971,0.10909274,0.07868645,0.1619249,0.08446296,0,Shasta_2008_11.tif
0.05340906,0.08961881,0.09706759,-0.039899737,0.08003182,0,Shasta_2008_11.tif
0.06578155,0.11114263,0.08125126,0.15536465,0.086058475,0,Shasta_2008_11.tif
0.11870831,0.19108826,0.21291146,-0.05401772,0.17423601,0,Shasta_2008_11.tif
0.20737782,0.28282073,0.26121536,0.03971305,0.25047132,0,Shasta_2008_11.tif
0.17060404,0.22773,0.21718614,0.023698498,0.20517339,0,Shasta_2008_11.tif
0.22688168,0.30088538,0.27788663,0.03973708,0.26855123,0,Shasta_2008_11.tif
0.2299748,0.30370396,0.2902832,0.022594323,0.274654,0,Shasta_2008_11.tif
0.2183756,0.27308378,0.30310723,-0.052106682,0.26485553,0,Shasta_2008_11.tif
0.29441485,0.33342734,0.3736395,-0.056871705,0.33382723,0,Shasta_2008_11.tif
0.06979477,0.05046908,0.07854005,-0.21758732,0.06626797,0,Shasta_1985_05.tif
0.08664545,0.08568147,0.09023205,-0.025868153,0.08751965,0,Shasta_1985_05.tif
0.08879008,0.053770244,0.10158017,-0.3077534,0.081380166,0,Shasta_1985_05.tif
0.1013515,0.075777985,0.091607586,-0.09456912,0.08957902,0,Shasta_1985_05.tif
0.093692094,0.08105984,0.07647675,0.029092044,0.083742894,0,Shasta_1985_05.tif
0.07285853,0.033082966,0.06272145,-0.30936128,0.056220982,0,Shasta_1985_05.tif
0.10364932,0.069835894,0.13115408,-0.3050793,0.10154643,0,Shasta_1985_05.tif
0.08909646,0.059492256,0.085761584,-0.18084994,0.07811677,0,Shasta_1985_05.tif
0.10349613,0.08876255,0.09367088,-0.02690463,0.09530985,0,Shasta_1985_05.tif
0.04543787,0.032422733,0.04655898,-0.17897901,0.041473195,0,Shasta_1985_05.tif
0.22267641,0.2540407,0.23603822,0.03673373,0.23758511,0,Shasta_1985_05.tif
0.23355275,0.26614496,0.2522007,0.026901433,0.2506328,0,Shasta_1985_05.tif
